accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	full_authors	institution	url	ORF2_type	ORF1_type	coverage	cdsCoverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	3CLpro_coverage	NTPase_coverage	p22_coverage	p48_coverage	RdRp_coverage	VP1_coverage	VP2_coverage	VPg_coverage	VP1_nextclade	VP1_group	VP1_type	VP1_variant	RdRp_nextclade	RdRp_group	RdRp_type	RdRp_variant
MN394546	MN394546.1	38	2019-04-01	Asia	China	Changsha		7428	Homo sapiens		2019-09-04	2019-09-04		Huang et al.	"Huang,Z.,Xiao,S.,Ou,X."	"Changsha Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/MN394546	GII.17	GII.P17	0.9929323909854648	"3CLpro:1,NTPase:1,ORF1:0.9876470588235294,RdRp:1,VP1:0.9704251386321626,VP2:0.9018867924528302,VPg:1,p22:0.9378531073446328,p48:0.9698795180722891"	0	1932	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:189-201"	1	1	0.9378531073446328	0.9698795180722891	1	0.9704251386321626	0.9018867924528302	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MN960578	MN960578.1	SCD1042	2018-02-18	Asia	China	Shanghai		7500	Homo sapiens		2020-03-15	2020-03-15		Zhang et al.	"Zhang,Z.,Wang,D.,Liu,D."	"Shanghai Jiao Tong University, School of Agriculture & Biology"	https://www.ncbi.nlm.nih.gov/nuccore/MN960578	GII.17	GII.P17	0.998666489	"3CLpro:1,NTPase:1,ORF1:0.9911764705882353,RdRp:1,VP1:0.9704251386321626,VP2:0.9283018867924528,VPg:1,p22:0.9378531073446328,p48:0.9879518072289156"	0	1946	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:189-201"	1	1	0.9378531073446328	0.9879518072289156	1	0.9704251386321626	0.9283018867924528	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MN996296	MN996296.1	SCD1044_3	2018-02-18	Asia	China	Shanghai		7410	Homo sapiens		2020-07-15	2020-07-15		Zhang et al.	"Zhang,Z.,Wang,D.,Liu,D.,Wu,Q."	"Shanghai Jiao Tong University, School of Agriculture & Biology"	https://www.ncbi.nlm.nih.gov/nuccore/MN996296	GII.17	GII.P17	0.9882651020136018	"3CLpro:1,NTPase:1,ORF1:0.9758823529411764,RdRp:1,VP1:0.9704251386321626,VP2:0.9283018867924528,VPg:1,p22:0.9378531073446328,p48:0.9096385542168675"	0	1936	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:189-201"	1	1	0.9378531073446328	0.9096385542168675	1	0.9704251386321626	0.9283018867924528	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MN996300	MN996300.1	SCD0162_3	2018-02-18	Asia	China	Shanghai		7395	Homo sapiens		2020-07-15	2020-07-15		Zhang et al.	"Zhang,Z.,Wang,D.,Liu,D.,Wu,Q."	"Shanghai Jiao Tong University, School of Agriculture & Biology"	https://www.ncbi.nlm.nih.gov/nuccore/MN996300	GII.17	GII.P17	0.9875983464461928	"3CLpro:1,NTPase:1,ORF1:0.9752941176470589,RdRp:1,VP1:0.9704251386321626,VP2:0.9283018867924528,VPg:1,p22:0.9378531073446328,p48:0.9066265060240963"	0	1936	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:189-201"	1	1	0.9378531073446328	0.9066265060240963	1	0.9704251386321626	0.9283018867924528	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MH218689	MH218689.1	NORO_231_20_01_2016	2016-01-20	Europe	United Kingdom			7562	Homo sapiens		2018-06-11	2018-06-11		Brown et al.	"Brown,J.R.,Roy,S.,Shah,D.,Williams,C.A.,Williams,R.,Dunn,H.,Hartley,J.,Harris,K.,Breuer,J."	"University College London, Division of Infection and Immunity"	https://www.ncbi.nlm.nih.gov/nuccore/MH218689	GII.17	GII.P17	1	"3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.9907578558225508,VP2:0.9547169811320755,VPg:1,p22:0.9378531073446328,p48:1"	0	1990	0						"ORF1:852-860,p22:154-162,VP1:393-397,VP2:191-201"	1	1	0.9378531073446328	1	1	0.9907578558225508	0.9547169811320755	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MH746923	MH746923.1	MH746923	2016-07-XX	South America	Brazil			7488	Homo sapiens		2019-01-01	2019-01-01		Andrade et al.	"Andrade,J.S.R.,Fumian,T.M.,Rodriguez-Diaz,J.,Buesa,J.B.G.,Bellon,C.S.,Leite,J.P.G.,Miagostovich,M.P."	"Fiocruz-IOC, Lab. Virologia Comparada e Ambiental"	https://www.ncbi.nlm.nih.gov/nuccore/MH746923	GII.17	GII.P17	1	"3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.9704251386321626,VP2:0.8905660377358491,VPg:1,p22:0.9378531073446328,p48:1"	0	1947	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:130-133,VP2:189-201"	1	1	0.9378531073446328	1	1	0.9704251386321626	0.8905660377358491	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MH746924	MH746924.1	MH746924	2016-07-XX	South America	Brazil			7488	Homo sapiens		2019-01-01	2019-01-01		Andrade et al.	"Andrade,J.S.R.,Fumian,T.M.,Rodriguez-Diaz,J.,Buesa,J.B.G.,Bellon,C.S.,Leite,J.P.G.,Miagostovich,M.P."	"Fiocruz-IOC, Lab. Virologia Comparada e Ambiental"	https://www.ncbi.nlm.nih.gov/nuccore/MH746924	GII.17	GII.P17	1	"3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.9704251386321626,VP2:0.8905660377358491,VPg:1,p22:0.9378531073446328,p48:1"	0	1947	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:130-133,VP2:189-201"	1	1	0.9378531073446328	1	1	0.9704251386321626	0.8905660377358491	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MH747481	MH747481.1	MH747481	2015-11-XX	South America	Brazil			7488	Homo sapiens		2019-01-01	2019-01-01		Andrade et al.	"Andrade,J.S.R.,Fumian,T.M.,Rodriguez-Diaz,J.,Buesa,J.,Bellon,C.C.,Leite,J.P.G.,Miagostovich,M.P."	"Fiocruz-IOC, Lab. Virologia Comparada e Ambiental"	https://www.ncbi.nlm.nih.gov/nuccore/MH747481	GII.17	GII.P17	1	"3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.9704251386321626,VP2:0.9547169811320755,VPg:1,p22:0.9378531073446328,p48:1"	0	1944	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:191-201"	1	1	0.9378531073446328	1	1	0.9704251386321626	0.9547169811320755	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MK282258	MK282258.1	CMC-03	2013-XX-XX	Asia	South Korea			7599	Homo sapiens		2019-01-30	2019-01-30		Kim et al.	"Kim,H.,Paik,S.-Y."	"College of Medicine, The Catholic University of Korea, Department of Biomedical Sciences"	https://www.ncbi.nlm.nih.gov/nuccore/MK282258	GII.17	GII.P17	1	"3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.9926062846580407,VP2:0.9132075471698113,VPg:1,p22:0.9378531073446328,p48:1"	0	1973	0						"ORF1:852-860,p22:154-162,VP1:394-397,VP2:189-201"	1	1	0.9378531073446328	1	1	0.9926062846580407	0.9132075471698113	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
LC258403	LC258403.2	LC258403	2017-02-XX	Asia	Japan	Tokyo		7420	Homo sapiens		2017-04-19	2018-06-14		Somura et al.	"Somura,Y.,Kimoto,K.,Oda,M.,Okutsu,Y.,Kato,R.,Suzuki,Y.,Saiki,D.,Hirai,A.,Akiba,T.,Shinkai,T.,Sadamasu,K.,Sadamas,K."	"Microbiology; 3-24-1, Hyakunincho, Shinjyuku-ku, Tokyo 169-0073"	https://www.ncbi.nlm.nih.gov/nuccore/LC258403	GII.17	GII.P17	0.9918655820776104	"3CLpro:1,NTPase:1,ORF1:0.9894117647058823,RdRp:1,VP1:0.9704251386321626,VP2:0.8641509433962264,VPg:1,p22:0.9378531073446328,p48:0.9789156626506024"	0	1940	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:189-201"	1	1	0.9378531073446328	0.9789156626506024	1	0.9704251386321626	0.8641509433962264	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
LC369214	LC369214.1	LC369214	2014-XX-XX	Asia	Japan	Aomori		7591	Homo sapiens		2019-10-11	2023-06-28		Matsushima et al.	"Matsushima,Y.,Mizukoshi,F.,Sakon,N.,Doan,Y.H.,Ueki,Y.,Ogawa,Y.,Motoya,T.,Tsukagoshi,H.,Nakamura,N.,Shigemoto,N.,Yoshitomi,H.,Okamoto-Nakagawa,R.,Suzuki,R.,Tsutsui,R.,Terasoma,F.,Takahashi,T.,Sadamasu,K.,Shimizu,H.,Okabe,N.,Nagasawa,K.,Aso,J.,Ishii,H.,Kuroda,M.,Ryo,A.,Katayama,K.,Kimura,H."	"Musashimurayama, Tokyo 208-0011"	https://www.ncbi.nlm.nih.gov/nuccore/LC369214	GII.17	GII.P17	1	"3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.9704251386321626,VP2:0.9132075471698113,VPg:1,p22:0.9378531073446328,p48:1"	0	1950	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:189-201"	1	1	0.9378531073446328	1	1	0.9704251386321626	0.9132075471698113	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MF421539	MF421539.1	Hu/GII.17/WH2017-153/CHN/2017	2017-05-08	Asia	China			7530	Homo sapiens		2019-02-19	2019-02-19		Zhou et al.	"Zhou,X.,Kong,D.-G.,Li,J.,Pang,B.-B.,Zhao,Y.,Zhou,J.-B.,Zhang,T.,Xu,J.-Q.,Kobayashi,N.,Wang,Y.-H.,Wang,Y.H.,Kong,D.G.,Pang,B.B.,Xiong,Y."	"Wuhan Centers for Disease Prevention & Control, Division of Microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/MF421539	GII.17	GII.P17	1	"3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.9704251386321626,VP2:0.9547169811320755,VPg:1,p22:0.9378531073446328,p48:1"	0	1943	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:191-201"	1	1	0.9378531073446328	1	1	0.9704251386321626	0.9547169811320755	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
MF421540	MF421540.1	Hu/GII.17/WH2017-156/CHN/2017	2017-05-08	Asia	China			7530	Homo sapiens		2019-02-19	2019-02-19		Zhou et al.	"Zhou,X.,Kong,D.-G.,Li,J.,Pang,B.-B.,Zhao,Y.,Zhou,J.-B.,Zhang,T.,Xu,J.-Q.,Kobayashi,N.,Wang,Y.-H.,Wang,Y.H.,Kong,D.G.,Pang,B.B.,Xiong,Y."	"Wuhan Centers for Disease Prevention & Control, Division of Microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/MF421540	GII.17	GII.P17	1	"3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.9704251386321626,VP2:0.9547169811320755,VPg:1,p22:0.9378531073446328,p48:1"	0	1943	0						"ORF1:852-860,p22:154-162,VP1:291-301,VP1:393-397,VP2:191-201"	1	1	0.9378531073446328	1	1	0.9704251386321626	0.9547169811320755	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
LC043168	LC043168.1	LC043168	2013-XX-XX	Asia	Japan	Saitama		7535	Homo sapiens		2015-04-11	2015-10-31		Matsushima et al.	"Matsushima,Y.,Ishikawa,M.,Shimizu,T.,Komane,A.,Kasuo,S.,Shinohara,M.,Nagasawa,K.,Kimura,H.,Ryo,A.,Okabe,N.,Haga,K.,Doan,Y.H.,Katayama,K.,Shimizu,H."	"Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821"	https://www.ncbi.nlm.nih.gov/nuccore/LC043168	GII.17	GII.P17	0.9977330310708096	"3CLpro:1,NTPase:1,ORF1:0.99,RdRp:1,VP1:0.9926062846580407,VP2:0.9132075471698113,VPg:1,p22:0.9378531073446328,p48:0.9819277108433735"	0	1968	0						"ORF1:852-860,p22:154-162,VP1:394-397,VP2:189-201"	1	1	0.9378531073446328	0.9819277108433735	1	0.9926062846580407	0.9132075471698113	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
KT780399	KT780399.1	CUHK-NS-502	2014-XX-XX	Asia	Hong Kong			7559	Homo sapiens		2015-11-29	2016-03-08		Chan et al.	"Chan,M.C.,Lee,N.,Hung,T.N.,Kwok,K.,Cheung,K.,Tin,E.K.,Lai,R.W.,Nelson,E.A.,Leung,T.F.,Chan,P.K.,Chan,M.C.W.,Hung,T.T.N.,Kwok,K.T.T.,Cheung,K.K.W.,Chan,P.K.S."	"The Chinese University of Hong Kong, Department of Microbiology"	https://www.ncbi.nlm.nih.gov/nuccore/KT780399	GII.17	GII.P17	0.9995999466595548	"3CLpro:1,NTPase:1,ORF1:0.9923529411764705,RdRp:1,VP1:0.9704251386321626,VP2:0.9132075471698113,VPg:1,p22:0.9322033898305084,p48:0.9969879518072289"	0	1950	0						"ORF1:852-861,p22:154-163,VP1:291-301,VP1:393-397,VP2:189-201"	1	1	0.9322033898305084	0.9969879518072289	1	0.9704251386321626	0.9132075471698113	1	GII.17	GII	GII.17		GII.P17	GII	GII.P17	
